remark,context_label
"In my experience, people in the arts community throughout Australia are always pleased when the arts gets a lift anywhere. So, I don't think that people do begrudge MONA. That has been a private investment which has never relied on any federal support. Our investment we are providing Tasmanian tourism is $120 million. $50 million of that will be to MONA for public spaces, amphitheatres and the like. Tasmania has got a world class arts and tourism story to tell and we want to make sure that flagship ventures like MONA can be used to attract people to Tassie. When people come to Tasmania they don't just go to the south. Labor will certainly work with the local arts community to further develop projects in the north and the north west.",shorten
"We've provided some funding in our policies for Hobart airport. What we're doing in terms of providing greater support for infrastructure in Tassie though is quite extensive. From the Bass Highway through to the bridge through to a range of different projects. I don't have any specific knowledge of an approach about an aerobridge but again we are in a position to talk to Tasmania about infrastructure because we have made the serious economic reform decisions. We are not going to give money to multinationals. We would rather see Tasmanians receive their fair share. And if I might make the point, not about aerobridges but about health,  Labor's really proud of the fact that of all the things we are doing in Tasmania we think the fact that we are providing over $100 million specifically for health projects in Tasmania is exactly what Tasmanians are looking for. You shouldn't have to wait longer in Tasmania for elective surgery than you do in parts of the mainland. That's why we are very pleased with our $30 million to help blitz waiting lists in Tasmania. When you add that on to the $15 million mental health hub we are doing in Launceston, when you look at the $4.5 million we are doing for Tazreach to supply services in North Western Tasmania. Add that on top of the fact that Tasmania has had $35 million cut from its hospitals, including local hospitals here in Launceston. We are going to put all of that money back. Add that to the fact that we are going to tackle the out of pocket costs of people seeing the GPs. Add to that our $2.8 billion national hospital fund which will see Tasmanian hospitals receive greater support and add to that our $2.3 billion support to help tackle the out of pocket costs for cancer patients. Tasmanians, the best health offering for them comes from an elected Labor government in Canberra.",shorten
"There is no doubt that oral hygiene is an important part of a person's health. It was Labor who pioneered the child dental benefit services. I think that when you look at our health offerings though Labor has got the best offerings of the mainstream parties, indeed of the parties. The reality is we were down here in fact just a couple of days after Parliament rose, Ross and I and Catherine King announcing greater support for people going through the fight of their lives with cancer. So when you look at our hospital fund, when you look at the fact we are reversing cuts that this government has done to hospitals, when you look at our investment we are going to make in cancer treatment and helping with the out of pockets there. And of course our announcement today for the Royal Flying Doctor Service, Labor really is the party you can trust when it comes to the health of Tasmanians.",shorten
We will have a look at what everyone has to say. But I want to make it clear that if we form a government we will be a Labor government not an anything else government. Thank you everybody.,shorten
Good morning Edwina.,shorten
"The subsidy will be for parents. If your household income is up to $68,000 we will provide a 100 per cent subsidy up to the capped amount of $11.77 an hour, so 100 per cent. If your household income is between $68,000 and $100,000, the subsidy is going to rise to 85 per cent of what you pay. And then between $100,000 and $174,000 the subsidy will be somewhere between 85 per cent down to 60 per cent. What this practically means is that for the first time after six long years of Liberal government where child care prices have gone up 24 per cent, where we hear stories of mums basically having to contribute most of their wage to their child care, this is a game-changer to help cost of living for nearly a million families, and it’s just going to make one of the biggest pressures on the family budget will be less.  In a real term, in a dollar term per year Edwina, it’s somewhere between $1,500 and $2,000 every year which families will have which won't be going on child care costs. That’s a real help to the family budget.",shorten
"Well we want the subsidy to go to the parents and what we're going to say to child care operators though is that we don't want them ramping up the prices. I think this is important point to make. We get that if you provide greater support for parents, there might be some child care operators who miraculously increase the fees by the subsidy which we are providing. So we're going to ask the ACCC to monitor prices. And what’s more is that if we see that there is some rent-taking, profit-taking by the operators, well then what we're going to do is we're going to contemplate price controls. So in other words, before operators can increase fees, they’ve got to get the approval of the government. So we want to make sure that the money gets to the pockets of the families.",shorten
"Up to $2000, yeah.",shorten
"We can afford to do this because we are making the tough economic decisions. We want multinationals to pay more tax. We are winding back the money that we give and negative gearing to property investors. It is a very straightforward proposition. It is about a choice. Do we want to be a country who gives taxpayer subsidy to someone to buy their sixth investment property, or do we want to help everyday Aussie families, a million of them, with the cost of child care. My view is that investing in child care is a better investment than giving a tax reward to someone who is buying their, you know multiple investment properties. So that is how we pay for it.",shorten
"Well under Scott Morrison, immigration has gone up, not down. I mean, this is politics. It is not about migration. Did you know Edwina that in Australia this year alone under the Liberals, there are 1.6 million people from overseas with visas which allow them to work in Australia, 1.6 million. So, Mr Morrison if he was fair dinkum would be talking about that and how we train Australians to do the jobs, rather than rely on 1.6 million people from overseas who have got visas which give them work rights. This is about politics, it’s not about migration. Pure politics.",shorten
"Look forward to it, cheerio.",shorten
"About a million Australian families will benefit from our initiative on child care. Everywhere I’ve travelled in Australia as Opposition Leader, one of the single biggest problems that people tell me is that everything is going up except their wages and child care is in one of the biggest things which is going up in price. It has gone up 24 per cent in the last six years. So what’s happening is mum and dad go to work and most of mum's wages are just going to pay the child care. So what we’re doing is we have made economic reform decisions to make sure that we spend more money helping people with the cost of child care and our proposals today, specifically for nearly a million families, mean somewhere between $1,500 and $2,100 back to families which they are currently spending on child care.",shorten
"Well good point. We are keeping an eye on this. We’ve asked the ACCC - as we give the subsidy to the parents we don't want the operators saying hmmm, yummy, we like that $2,000 subsidy we’ll increase the cost of fees. So first of all the ACCC is going to have the powers to monitor it. But if that doesn’t work I'm putting on the table today on your show we will look at introducing price controls like we do for private health insurers. I think that we want the money to go to parents, not to see more profit being gouged by particular operators.",shorten
"Well come along to Box Hill today where we’re going to talk more about how we are going to look after early childhood educators. Early childhood educators, it is a 96 per cent female dominated industry. I think that it is paid less than other male dominated industries because there are so many women working in it. You know it is a most important job. These are the first adults who we trust our kids to out of the family unit, so I think we should pay early childhood educators more. You will hear more about that later.",shorten
"Well what we can do is we can make sure that if we are going to provide some support for the wages of early childhood educators, again we will say to the operators if Labor is providing some modest improvement in the wages of childhood educators, if Labor is providing a couple of thousand dollars a year for parents, what we say to the childcare operators is you don't get to pocket that. We want childcare to be sustainable, we want cost of living to be tackled and we want to see that the people working in the industry get a fair deal.",shorten
"No, not at all. What’s happening now is that this government is raising record taxes and they spend it on property investors on their sixth house with negative gearing. This is a government who is not tough on multinationals paying their fair share. Instead of being slack on the multinationals, instead of giving away unsustainable tax giveaways to property investors to buy their sixth house, we want to use that money to help subsidise the child care industry so that parents on the front line get cost of living relief.",shorten
"Well we’ll release our figures before the election is concluded, but we’ve also made clear that we think we need to wind back what we give to negative gearing.",shorten
"We will do that closer to the election but suffice to say we have done our maths and we are able to pay for the promises we are making. Once we have revealed all of our promises, then we will reveal the costings to back it up.",shorten
"We will once we have announced all of our policies. That will be very soon. But the point about it is that there are tens of billions of dollars going in unsustainable tax concessions, tens of billions of dollars. We think it is a better investment, rather than giving a subsidy to someone to buy their sixth house to spend it on child care relief for a million Australian families.",shorten
"That's a really good point. First of all, the government loves to say that if we are not going to give a tax subsidy to a property investor, somehow that’s a property tax. It’s not. What currently happens in negative gearing - and first of all, anyone who is currently invested under negative gearing rules won't be affected. So it is a future change. What happens is when the government gives a subsidy, a reward for investing in your sixth or seventh property, that's an expenditure. That means we are using tax income and we are giving it to a property investor for making a loss. Instead of giving that tax money to a property investor for making a loss, I would rather give it to parents. So it is not an increase in tax. What it actually is, is it’s a reallocation of priorities. I want to give it to …",shorten
"Well it’s a matter of priorities. This is the truth in Australia at the moment. If you have a lot of capital you’re taxed very lightly. If you earn income you’re taxed much more heavily. What I want to do is to have a fairer, equitable system. Instead of just giving the property investors and the multinationals a lighter deal what we want to do is to use some of that money which we’re giving to them and reallocate it to spend it on child care. I would rather see a million Australian families, households whose incomes are less than $170,000 a year, get a couple of thousand dollars of tax relief than give that money either through slack tax laws to multinationals or through giving it to property investors. It is a matter of priorities.",shorten
"Well, the fact of the matter is we are arguing for a change in Australia. We don't want to - I mean, I think this Government is disgraceful in that they are offering a thread-bare policy agenda. All they are offering Australians is basically an unfunded tax cut in five years’ time, more of this trickle-down economics where the wealthy get wealthier and maybe a few crumbs come off the table for working families in this country. By contrast, we are saying let's change our tax system. Let’s stop giving money away to the top end of town. Let's start spending on the vast bulk of working, middle class.",shorten
"Because for the last three years, and indeed six years, we have been united. We are putting all our policies out there. You know you say you have got to give everything by the end of the election. We will. But the point about it is, we are putting out a lot of significant policies. We have been upfront with the people. We told people three years ago we intend to change the negative gearing rules, prospectively. We told people that we wanted to go after multinationals.",shorten
"You can't have it all ways, you can't say when will you tell people...",shorten
Well I've explained that I didn't understand the question that was being asked.,shorten
"Let's go through each of those points rather than rapid fire, let's have a conversation. First of all, we have outlined our policies for the last three years. Now you say people haven't been paying attention, fair enough, that's your view. But you can't say that we haven't been upfront. Then you have gone to a couple of specific examples. Now when we talk about tax relief, the fact of the matter is that for the next three years, Liberal and Labor are offering the same deal to Australian people but where the disagreement comes is this government is...",shorten
"Yes, for the vast bulk of people we are offering the same thing. You are quite right, for the three per cent of tax earners we still think we need a budget repair levy until 22-23. So you are right there. But the point about it is if we are going to have a proper tax system in the country, we've got to start looking after income earners as opposed to taxing capital lightly and income more heavily. Or to put in plain English, how on earth are we a country who has the negative gearing rules or tax credit rules on shares which are unique in the world. I don't want to be the best in the world at tax loopholes, I want to be the best in the world at cost of living relief for childcare and for kinder and for aged care and for schools and hospitals.",shorten
"There couldn't have been anyone who was committing me to a preference deal. No, not aware of that. There is always conversations...",shorten
"Hang on a second. As you would know as a seasoned journalist, there is always plenty of conversations. But you also understand, someone who has covered politics for a long time, that me and Labor, could not do a deal with a person who still owes the taxpayer nearly $70 million, owes workers an additional $7 million. That's a deal breaker for us.",shorten
Only one leader in this country has done a deal with Clive Palmer.,shorten
"No. No. We are not doing that and let's be really clear here - there is no way that you can do a preference deal without me signing off on it. And somehow, though, what the Government is trying to do is look away from the deal they have done. There is one question which has not been satisfactorily answered. For Mr Morrison to give his preferences to Clive Palmer, for the Nationals, the Coalition partner, to give their preferences to One Nation, what have they promised Pauline Hanson and Clive Palmer? The reality is for Labor the price of doing a deal with Clive Palmer, too high. Not worth it.",shorten
Well first of all you know that we’ve offered Channel Nine the opportunity to do it through the Press Club. You have declined.,shorten
You've declined. I am sorry if you are busy at lunchtime. The point about it is...,shorten
They have invented iView You know it is possible to do an interview at one point in the day -,shorten
"You know, it is possible to do an interview at one point in the day and replay it. I often see that. But the point about it is, ABC want a debate, Channel Nine want a debate, the Press Club want a debate. It's not really for me to sort out...",shorten
"Yeah, but do you know what? For the last six years we have been debating the Liberals. We are talking to the people. We've got three debates with the Government. I tell you what I do find extraordinary. I mean I can't sort out Nine and Two, I don't want to pick favourites. The point about it is we are going to Western Australia because they have never had a debate before. There is normally three debates in any federal election. That's the precedent. Let's go to the heart of the matter. If we want to talk about debate, where is their industrial relations minister to talk about wages policy? Where is their energy minister? Where is their environment minister talking about climate change? Where is their education minister? This is a Government where apart from Mr Morrison, they are silencing most of their colleagues.",shorten
I enjoyed the debate.,shorten
See you.,shorten
"I will get Tanya to supplement this but let's go to some of the macro numbers here. This Government when it talks about childcare, cut people's childcare and other people got an improvement. Under our new scheme, no one goes backwards. So, just to repeat the good news for Australian families. A family household income up to $68,000 will get 100 per cent subsidy up to the capped hours, be it $11.77. One hundred per cent. That's free childcare. A family household between $68,000 and $100,000, they'll get around 85 per cent subsidy which is also very good news and an improvement on the status quo. That will save them $1500 or so every year. That is per child. So for a couple of kids, $3K. That's not to be sneezed at. Then family household incomes between $100,000 and $174,000, the subsidy will taper down but it is still more generous than what the current Coalition is offering working families. So it will be from 85 per cent to 60 per cent. That will be a benefit of between $1200 and $1400 for families. I'll get Tanya to supplement.",shorten
"I thought Tanya answered that. The point is that the Government, they can't help themselves because they are so busy defending the top end of town with their unsustainable tax cuts, they try and do all the good policies on the cheap. How is it they came up with a childcare policy, which in order to see three families benefit, knocked off the fourth family? We've said we will review that. We want to see how that's working. We are not convinced it's working well. But the good news for Australian families, to cut through the clutter and white noise of the election, if childcare matters to you, if you're worried that your household budget is being knocked around by the cost of childcare, Labor is so far ahead of the Coalition in our offerings on childcare, just not funny.",shorten
"There are a number of points in that but I'll be as brief as I can. I think you're right, Olivia. Everything is going up in Australia except people's wages. Wages are stagnating. That's a fact. This government has broken the sort of records no government should ever want to break in terms of low wages growth. That's a problem. In terms of how we help workers get wage rises in a modest and meaningful way, we've already suggested a number of policies in the course of last week. The Government is suspiciously silent on raising wages. Of course, we're in the home state of Mathias Cormann who famously said low wages is the economic architecture of Liberals, so they're happy. But we have picked childcare workers to go first. I think this is a strategically important industry. We talk a lot about the national interest but what could be more in the national interest than the quality care and education of our zero to five year olds? That is pretty important. These are the first workers, the first adults in our children's lives we trust outside the family unit and they work hard. The lovely lady Emma who we just spoke to before. Eleven years in the industry, two years here. She has plenty of friends who come in with the best hopes in the world but the money is so crap, the money is so bad, that they have had to sacrifice their passion just to make ends meet. We're going to change that. So we have deliberately said that we think the early childhood educators is an area where the normal system is not working. If you're in the private sector, say you're in the media or say you're in mining or say you're in, I don't know, manufacturing. You can go and bargain with your boss to try to get a wage rise. But the fact of the matter is childcare has a lot of government funding so when the government funding is tight there is simply no money for the wage rise. So, if you like, childcare workers are caught in a Catch-22 by the economics of childcare. If we don't put more money into the industry then you can never get a wage rise. But if you can never get a wage rise, we keep churning the good workers. So what we've come up with is a policy which is not dissimilar to what was done when Labor was last in government for housing, community sector workers, where you pick industries where they are predominantly feminised. In this case, did you know childcare is 96 per cent women so it's no coincidence that their the pay is low because that's the sort of in-built bias in the system. What we've said is we will find money in an orderly manner across ten years, or across eight years I think we've spelt out. Then, we'll sit down with the employers, with the industry, with the parents, with the independent umpire and work out how we can do it. But what we bring to the table is good will. And more than good will, we are willing to find money. This is a government who is willing to find $77 billion - although they haven't told us where it is coming from, what cuts they are going to make - to pay for a tax cut for the top three per cent. We've explained how we're raising our money. We've been upfront with the people for the last three years and this is the dividend of these reforms. Everyone knows wages in early childhood are too low. Parents know it. Industry knows it. If any of you have got kids, you'd know it too. But there hasn't been a proper answer until now. We can't just ask the parents to pay more. They are already struggling with the bills. The industry is a hybrid of for-profit and not-for-profit. They don't have the money to give significant wage rises. The other alternative is we can just keep going along asking childcare workers to subsidise the children by not getting wage rises. We've come up with a neat solution and it makes sense. There is some precedent and we'll work through it in a calm...",shorten
"We haven't won the election, yet.",shorten
"Thank you for that optimism. I believe our policies will see sensible movements in wages. This nation can't keep bumping along at the bottom in terms of wages. I know, for example, that we will reverse these unfair cuts, arbitrary cuts to penalty rates. That will mean that hundreds of thousands of people will get a wage rise. I know our plan here for early childhood educators will see in our first term modest and sensible increases. I know that when we improve the bargaining laws, that will crack down on sham contracting, we will stamp out the abuse of temporary work visas from overseas. I have been around this business for 30 years. I understand what we have got to do to get wages moving again and we will. But it will be done with business, it will be done recognising capacity to pay. But you know we have got a big problem in Australia. Confidence is flat. We're seeing household savings being spent. We saw zero per cent inflation in the last quarter. That shows you that people are just basically hunkering down under this Liberal Government. What we need is a bit of confidence back in the system and that is what we will bring to Australia.",shorten
"I'm not aware of that. In terms of Mr Palmer, why is to hard for billionaires to pay the taxpayers the money they owe them? Why is it that there is one rule for the rest of us and another rule for him and Scott Morrison? If you owed the Government $10,000, for longer than a year, the Tax Office would give you a ring, wouldn't they? They might  give you a letter. They will chase you up. But apparently in this country if you owe $70 million to the taxpayer not only does the Government not worry about it - it wants your preferences. In fact it wants to elect you to the Senate. it's a whole new strategy in Australian politics. I am lucky enough to have Tanya here, she's been giving this matter quite a degree of reflection.",shorten
"Well, the election hasn't been decided yet. But having said that, we'll deal with whatever the Australian people give us in the Senate. But if Clive Palmer gets into the Senate, I blame Scott Morrison. Because the only way that bloke can be on electoral life support is because the Liberal and National Party are putting him there. This is turning Australian politics into a joke, isn't it? Let's go back to the fundamentals. Mr Morrison was the Treasurer who repaid Mr Palmer's $70 million worth of debts to the workers and that therefore means Mr Palmer owes the Government that $70 million. But instead of getting the $70 million out of Clive Palmer, Clive Palmer said, ""I will give you my preferences."" And all of a sudden when Clive Palmer was the sort of bad guy in the Liberal dictionary, all of a sudden, get the preferences, he's a good guy, don't bother me about his debts. So in the Senate we have got to stop it feeding the extremists. The problem is now that the Morrison Government is so desperate that when you vote for Scott Morrison you're voting for the Morrison-Palmer-Hanson Government. Australians are sick of the circus of Australian politics. A vote for Mr Morrison pretty much guarantees Mr Palmer in the Senate, Ms Hanson in the Senate and more chaos for three years. Vote Labor in the House and vote Labor in the Senate to avoid more chaos and confusion.",shorten
Well I am not sure that the people who preselected him knew of all of these posts. But I don't think he should be our candidate. Just before we all shout... So I don't think he should be our candidate any more and I understand that it is in train for him to step down as our candidate. And I hope that Mr Palmer is willing to do something about the 20 candidates he has got with Constitutional eligibility clouds over their heads. And I hope that Mr Morrison can show the same certainty of purpose as I've just displayed.,shorten
"That is going to be a matter between them and the police. I don't know anything about it. When it comes to adhering to the law though I want to make it clear, no one is above the law, not the CFMEU, not their officials, nor the banks. And always remember that our friend the current Prime Minister voted 26 times to cover up the banks' behaviour, voted 26 times against a banking royal commission. And indeed your question goes to the heart of making sure we have got a better trust in the system. That's why we need a national integrity commission. And I do not know why Western Australian Attorney-General Christian Porter keeps resisting having an anti-corruption commission. Perhaps one more question.",shorten
"You're not reporting accurately what Tanya said. But in terms of mining, you in fact do remind me kindly of our announcement about the future of mining. Today Jason Clare and I have announced and I guess it is a good news story so not as exciting but it is a $75 million commitment to invest in the future of mining. Did you know in Australia that we haven't had a tier 1 mining discovery since 2005? That is tier 1, very high quality, underground. The rest of the world has reported three tier 1 discoveries every year. Did you know about $221 billion that we make in mining exports, 80 per cent of it comes from mining deposits which were discovered 40 years ago. We don't properly map underground Australia. So Labor is putting in $75 million to help work with geoscience, work with the mining industry so we can exploit our mineral deposits. Another good bit of news is we are putting in $2 million to fund 50 mining engineering scholarships in Western Australia.",shorten
"I don't mind repeating what I said earlier, because it is an important point so I appreciate your giving me the chance to do that. No I don't see this as being economy-wide this approach, at all. But I do accept that in certain sectors of the economy we have a wages problem, don't we? And I would put it to you, childcare educators, there is only four things that can be done. One, they just never get a pay rise. Well that's not good is it? I think you would agree with that. Thirty per cent turnover, very important the development of kids. Two, we ask the parents to pay a lot more. That's not really viable either is it with the cost of living crisis under this government? Three we just ask all the operators to increase their costs, to not pass it on to anyone. That's not economically rational or reasonable either. Or four, the Government assists, provide money to the childcare sector so that workers can get better wages. This is a problem everybody acknowledges. If all of us agree that childcare wages are too low and if I did a quick survey here of all of you, is $21 or $22 or $23 an hour, really is it enough for someone with a Cert. III or Diploma in childcare? You and I know it is not enough.",shorten
"You asked the question and I am giving you an answer. So if we know there is a problem, it's then a matter of choices. And that is what this election is about. It's about choices. Today across Australia the pre-poll voting is opening. It's estimated that up to 40 per cent of people will vote before May 18. So I say to people who have to vote at pre-poll today, tomorrow or in the next three weeks, this election is about a choice. You can either give billions of dollars to negative gearing and property investors or you can properly fund early childhood educators' wages. You can either give billions of dollars away by not policing loopholes for the top end of town or you can provide $2000 to middle class families struggling with the cost of childcare. This election is about choices and we are making choices. I want to clamp down on unsustainable tax subsidies for the top end of town. And do you know what? I want three million Aussie pensioners to be able to know that they can get a decent set of teeth and afford to go to the dentist. Thank you, see you around.",shorten
Are there any questions ?,shorten
"Alright, I think I understand your question, it's about the cost of climate change and the cost of our policies. I've got Mark Butler here today as well, which as a little aside, I've got my climate change minister with me, we're in Western Australia, I don't think, a little prize could get Melissa Price photographed with Scott Morrison, while they're over here talking about climate. But that's just the small part. The big picture is, as we heard last night in the debate, this government has got every excuse in the book not to take action on climate change. Climate change is real. Climate change is extracting a big cost as you said correctly, Greg. It's estimated at $18 billion dollars a year in natural disasters and some of that is obviously due to more extreme weather events and climate. Sorry, Greg I'm going to do you the courtesy of your three point question and get I and Mark to answer it if you will let me. Now on the cost of climate change, we think there is a big cost. You and I know that this government is going down every rabbit hole, down every burrow, on every sideshow, to avoid one fact: they don't have a climate policy, do they? I mean if they were going to have a climate policy which was serious Malcolm Turnbull would still be Prime Minister. But you talk about modelling, why don't I get Mark to talk about the plethora of material which is already there.",shorten
